userId,movieId,rating,timestamp
1,1,5.0,964982703
1,2,4.5,964982224
1,3,5.0,964982931
1,10,4.0,964981247
1,11,4.5,964981179
2,1,4.0,964982703
2,4,5.0,964982224
2,5,4.5,964982931
2,6,4.0,964981247
2,10,3.5,964981179
3,1,3.0,964982703
3,3,4.0,964982224
3,7,4.5,964982931
3,8,4.0,964981247
3,9,3.5,964981179
4,2,5.0,964982703
4,4,4.5,964982224
4,10,4.0,964982931
4,12,3.5,964981247
4,13,4.0,964981179
5,6,5.0,964982703
5,8,4.5,964982224
5,14,4.0,964982931
5,15,4.5,964981247
5,16,4.0,964981179
6,11,5.0,964982703
6,13,4.5,964982224
6,17,4.0,964982931
6,18,4.5,964981247
6,19,4.0,964981179
7,20,5.0,964982703
7,21,4.5,964982224
7,22,4.0,964982931
7,23,4.5,964981247
7,24,4.0,964981179
8,25,5.0,964982703
8,26,4.5,964982224
8,27,4.0,964982931
8,28,4.5,964981247
8,29,4.0,964981179
9,30,5.0,964982703
9,31,4.5,964982224
9,32,4.0,964982931
9,33,4.5,964981247
9,34,4.0,964981179
10,35,5.0,964982703
10,36,4.5,964982224
10,37,4.0,964982931
10,38,4.5,964981247
10,39,4.0,964981179
11,40,5.0,964982703
11,41,4.5,964982224
11,42,4.0,964982931
11,43,4.5,964981247
11,44,4.0,964981179
12,45,5.0,964982703
12,46,4.5,964982224
12,47,4.0,964982931
12,48,4.5,964981247
12,49,4.0,964981179
